,Adresas,Kambarius_sk,Plotas,Aukstas,Kaina,Kv_kaina
0,"Vilnius, PilaitėTvankstos g.",3,57.0,4/4,194000,3404.0
1,"Vilnius, PilaitėTvankstos g.",2,33.2,5/5,73500,2214.0
2,"Vilnius, PilaitėTvankstos g.",3,55.5,4/4,150000,2703.0
3,"Vilnius, PilaitėTvankstos g.",4,73.11,9/9,89500,1224.0
4,"Vilnius, PilaitėTvankstos g.",3,104.9,9/16,248000,2364.0
5,"Vilnius, PilaitėTvankstos g.",4,92.35,0/2,194900,2110.0
6,"Vilnius, PilaitėTvankstos g.",4,111.11,0/2,324900,2924.0
7,"Vilnius, PilaitėTvankstos g.",3,85.16,7/9,175000,2055.0
8,"Vilnius, PilaitėTvankstos g.",3,69.93,3/12,53900,771.0
9,"Vilnius, PilaitėTvankstos g.",3,65.0,2/5,116999,1800.0
10,"Vilnius, PilaitėTvankstos g.",3,66.59,3/3,280000,4205.0
11,"Vilnius, PilaitėTvankstos g.",2,50.7,4/5,49960,985.0
12,"Kaunas, DainavaV. Krėvės pr.",2,36.0,6/8,81400,2261.0
13,"Kaunas, DainavaV. Krėvės pr.",2,43.72,3/5,96000,2196.0
14,"Kaunas, DainavaV. Krėvės pr.",2,37.0,6/9,83000,2243.0
15,"Kaunas, DainavaV. Krėvės pr.",2,37.47,7/8,82434,2200.0
16,"Kaunas, DainavaV. Krėvės pr.",3,50.72,8/9,111540,2199.0
17,"Kaunas, DainavaV. Krėvės pr.",2,37.15,2/9,81730,2200.0
18,"Kaunas, DainavaV. Krėvės pr.",3,59.75,8/9,131450,2200.0
19,"Kaunas, DainavaV. Krėvės pr.",3,60.66,9/9,133452,2200.0
20,"Kaunas, DainavaV. Krėvės pr.",4,132.0,0/2,214800,1627.0
21,"Kaunas, DainavaV. Krėvės pr.",2,72.72,0/1,22000,303.0
22,"Kaunas, DainavaV. Krėvės pr.",5,150.73,0/2,224000,1486.0
23,"Kaunas, DainavaV. Krėvės pr.",4,188.0,0/1,319000,1697.0
24,"Kaunas, DainavaV. Krėvės pr.",3,60.0,3/7,750,12.5
25,"Kaunas, DainavaV. Krėvės pr.",3,66.41,2/3,950,14.31
